osm_id,name,highway_type,surface,lanes,maxspeed,oneway,bridge,tunnel,lit,sidewalk,cycleway,width,access,ref,mid_lat,mid_lng,node_count
11944354,Devon Road,residential,,,,,,,,both,,,yes,,40.44612278333333,-79.94017046666666,6
11945832,Olympia Place,residential,asphalt,,,,,,,,,,,,40.44551693333333,-79.93491806666667,3
11949370,Castleman Street,residential,,,,yes,,,,separate,,,,,40.4491302,-79.94104964,5
11951808,Robin Road,residential,,,,,,,,,,,,,40.443730833333326,-79.93540976666667,3
11955884,North Neville Street,tertiary,asphalt,2,,,,,yes,,,,,,40.44752561666667,-79.9474788,6
11956950,Clyde Street,residential,,,,yes,,,,,,,,,40.448205692307695,-79.94584908461539,13
11960639,Diulius Way,steps,,,,,,,,,,,,,40.439194175,-79.95119875,4
11960711,North Craig Street,secondary,asphalt,2,,,,,,separate,,,,,40.447567072727274,-79.9493607,11
11961801,Roselawn Terrace,residential,asphalt,,,,,,,,,,,,40.442152074999996,-79.93829035,4
24864540,Forbes Avenue,primary,asphalt,4,35 mph,no,,,,separate,lane,,,,40.44456965,-79.94556065,2
24864541,Forbes Avenue,primary,asphalt,4,25 mph,,yes,,,,lane,,,,40.44452355,-79.9468094,2
24931539,Schenley Drive,secondary,asphalt,1,,yes,,,,,,,,,40.440148984615384,-79.94715584615385,13
24931540,Schenley Drive,secondary,asphalt,2,,,yes,,yes,both,,,,,40.441559350000006,-79.9495914,2
24931882,Panther Hollow Road,secondary,asphalt,,,,,,,separate,,,,,40.43832874444445,-79.94679395555555,9
25655759,Boundary Street,residential,,,,,,,,,,,,,40.440103525,-79.9505139,4
27550366,Hamerschlag Drive,service,concrete,,,,,,,,,4.5,destination,,40.442361633333334,-79.94705065,6
27551717,,footway,asphalt,,,,,,no,,,,,,40.440501037837834,-79.94554692162161,37
27551718,,footway,paved,,,,,,,,,,,,40.439120428,-79.94598462,25
27551744,,footway,asphalt,,,,,,,,,,,,40.44030714666667,-79.94329574,15
27551751,,footway,concrete,,,,,,,,,,,,40.439578600000004,-79.9432125,2
27551752,,footway,concrete,,,,,,,,,,,,40.44034546666666,-79.9424184,3
27551838,,footway,grass,,,,,,,,,,,,40.44057798461539,-79.94656126153846,13
27574158,,footway,concrete,,,,,,,,,,,,40.441325400000004,-79.94665016666666,3
27574211,,footway,concrete,,,,,,yes,,,,,,40.442345257142854,-79.94373153571428,14
27574212,,steps,concrete,,,,,,yes,,,,,,40.44430405,-79.9430368,2
27574214,,footway,concrete,,,,,,yes,,,,,,40.444331250000005,-79.94302735,2
27574216,,steps,concrete,,,,,,yes,,,,,,40.444456,-79.94298415,2
27574224,,footway,concrete,,,,,,yes,,,,,,40.44429076,-79.94279486,5
27574241,,footway,concrete,,,,,,no,,,,,,40.4439317,-79.94255679999999,3
27574253,,footway,paved,,,,,,,,,,,,40.44271898,-79.93934850000001,15
27574256,,footway,concrete,,,,,,no,,,,,,40.44257012857143,-79.9433205,7
27574258,,footway,concrete,,,,,,yes,,,,,,40.44221478,-79.94350996,5
27574262,,footway,concrete,,,,,,yes,,,,,,40.44398786666667,-79.9435914,3
27574300,,footway,concrete,,,,,,,,,,,,40.44209804,-79.94472594,5
27574304,,footway,concrete,,,,,,,,,,,,40.44206903333333,-79.94429633333333,6
27574307,,footway,concrete,,,,,,,,,,,,40.441924766666666,-79.9450316,3
27574313,,footway,concrete,,,,,,,,,,,,40.44221765,-79.94503655,2
27574314,,footway,concrete,,,,,,no,,,,,,40.44191455,-79.94455985,4
27574320,,footway,concrete,,,,,,,,,,,,40.44190639999999,-79.9455103,2
27574321,,footway,paving_stones,,,,,,yes,,,,,,40.441316400000005,-79.94414815,2
27574324,,footway,concrete:plates,,,,,,,,,,,,40.44123308333334,-79.94341106666667,6
27574326,,footway,paving_stones,,,,,,,,,,,,40.441573033333334,-79.94318416666667,3
27574345,,footway,concrete,,,,,,,,,,,,40.441565992307694,-79.94246808461538,13
27574346,,footway,concrete,,,,,,,,,,,,40.44179684,-79.94239877999999,5
27574348,,footway,concrete,,,,,,,,,,,,40.4419154875,-79.942295375,8
27574365,,service,,,,,,,,,,,destination,,40.442936149999994,-79.9451792,2
27574372,,footway,concrete,,,,,,,,,,,,40.442120375,-79.939309475,4
27574373,,footway,concrete,,,,,,,,,,,,40.44202575,-79.9396279,4
27574410,,footway,concrete,,,,,,yes,,,,,,40.4443515,-79.94294746666667,3
27574412,,footway,concrete,,,,,,yes,,,,,,40.4442583,-79.94286185,2
27574540,,footway,concrete,,,,,,,,,,,,40.440910300000006,-79.94289193333333,3
27574543,,footway,concrete,,,,,,yes,,,,,,40.44113973333334,-79.9443068,3
27574567,,footway,concrete,,,,,,no,,,,,,40.4426068,-79.943246,3
27590842,,steps,paving_stones,,,,,,,,,,,,40.4420514,-79.94705845,2
27590955,,steps,concrete,,,,yes,,,,,,,,40.443645599999996,-79.9461834,2
27590956,,steps,concrete,,,,,,,,,,,,40.443451499999995,-79.9462532,2
27590957,,footway,concrete,,,,yes,,,,,,,,40.44369625,-79.94616515,2
27590958,,footway,concrete,,,,yes,,,,,,,,40.4435523,-79.94621695000001,2
27591115,,service,,,,,,,,,,,destination,,40.44398650909091,-79.9461179,11
27591116,,service,,,,,,,,,,,destination,,40.44448842857143,-79.94556321428571,7
27591133,,service,asphalt,,,,,,,,,,destination,,40.44430192222222,-79.94435442222222,9
27591170,,footway,paving_stones,,,,,,yes,,,,,,40.44429093333333,-79.94337703333333,3
27591222,,steps,concrete,,,,,,,,,,,,40.4419143,-79.94306035,2
27591320,,steps,concrete,,,,,,,,,,,,40.44238645,-79.940576,2
27591322,,footway,concrete,,,,,,,,,,,,40.44213666666666,-79.94066996666668,3
27591324,,service,asphalt,,,,,,,,,,destination,,40.441890825,-79.94067927500001,4
27591332,,service,,,,,,,,,,,private,,40.442026025,-79.940845,4
27591355,,footway,concrete,,,,,,,,,,,,40.443364100000004,-79.94115705454546,22
27591356,,footway,concrete,,,,,,,,,,,,40.44285775,-79.940812,4
27591361,,footway,concrete,,,,,,,,,,,,40.44260333333333,-79.94049066666666,3
27591364,,footway,concrete,,,,,,,,,,,,40.44291704,-79.9414039,5
27591370,,footway,concrete,,,,,,,,,,,,40.4427409,-79.9413527,2
27591374,,footway,concrete,,,,,,,,,,,,40.44312505,-79.9414135,2
27591389,,footway,concrete,,,,,,,,,,,,40.4422364,-79.94611355,2
27591397,,footway,concrete,,,,,,,,,,,,40.4422739,-79.94628455,2
27592085,,service,,,,,,,,,,,private,,40.446410071428566,-79.94077754285715,7
27592147,,service,,,,,,,,,,,,,40.44718772,-79.93614334,5
27592410,Upper Panther Hollow Trail,track,gravel,,,,,,,,,,,,40.43489467101449,-79.94161243333333,69
27592688,Steve Faloon Trail,track,gravel,,,,,,,,,,,,40.43619010078125,-79.94091884296876,128
27592717,,track,gravel,,,,,,,,,,,,40.43636489166666,-79.94070914166666,12
27610918,,footway,paving_stones,,,,,,,,,,,,40.44087591666667,-79.94782903333333,6
27610964,Westinghouse Trail,footway,,,,,,,,,,,,,40.438886025,-79.9416539375,8
27610983,Westinghouse Trail,footway,,,,,,,,,,,,,40.43870580769231,-79.94272753076923,13
27611003,,footway,gravel,,,,,,,,,,,,40.437630725,-79.94611245833333,12
27611150,,steps,,,,,,,,,,,,,40.438089775,-79.9460488,8
27611152,,footway,,,,,,,,,,,,,40.438261775,-79.946010425,8
27611153,,steps,,,,,,,,,,,,,40.43833823333333,-79.94611828333333,6
27622803,,footway,asphalt,,,,,,,,,,,,40.43995734,-79.94403852,5
27622818,,footway,,,,,,,,,,,,,40.437042250000005,-79.9467968,2
27623211,,footway,concrete,,,,,,no,,,,,,40.442267,-79.9452427,2
27623219,,footway,concrete,,,,,,,,,,,,40.441913757142856,-79.94528545714286,7
27623224,,steps,concrete,,,,,,yes,,,,,,40.442364049999995,-79.9452148,2
27623231,,steps,concrete,,,,,,,,,,,,40.44220343333333,-79.9444567,3
27629886,,footway,concrete,,,,,,,,,,,,40.44247367142857,-79.94553841428572,7
27629887,,footway,concrete,,,,,,,,,4.5,,,40.44231994,-79.94599611999999,5
27630061,,footway,,,,,,,,,,,,,40.445312075000004,-79.94196265,4
27630070,,footway,,,,,,,,,,,,,40.44558085,-79.9420316,2
27630072,,footway,,,,,,,,,,,,,40.4455331,-79.94165173333333,3
27630282,,footway,concrete,,,,,,,,,,,,40.4449897625,-79.9436095625,8
27630289,,footway,concrete,,,,,,yes,,,,,,40.44480646666667,-79.94339133333334,3
27630294,,footway,concrete,,,,,,yes,,,,,,40.444857866666666,-79.94363436666667,3
27630297,,footway,concrete,,,,,,,,,,,,40.44496385,-79.94309725,4
27630307,,footway,concrete,,,,,,,,,,,,40.44514933333333,-79.94328612222222,9
27630315,,footway,concrete,,,,,,,,,,,,40.44522896666667,-79.94327563333333,3
27630320,,footway,concrete,,,,,,yes,,,,,,40.44522138333333,-79.9429767,6
27630322,,footway,,,,,,,,,,,,,40.445589025000004,-79.942821175,4
27630335,,footway,,,,,,,,,,,,,40.4463717,-79.942680495,20
27630428,,footway,concrete,,,,,,yes,,,,,,40.44606173333333,-79.94359483333334,3
27630527,Schenley Drive,secondary,asphalt,2,,,,,yes,separate,,,,,40.439200837499996,-79.94660845,8
27630542,,footway,,,,,,,,,,,,,40.439288399999995,-79.94550687777777,9
27630550,,steps,,,,,,,,,,,,,40.43968616666667,-79.94655666666667,3
27630556,Schenley Drive,secondary,asphalt,1,,yes,,,,,,,,,40.44019038333334,-79.94744445833334,12
27643478,Gladstone Road,residential,,,,,,,,,,,,,40.440998425000004,-79.9372054,4
28727096,Fifth Avenue,trunk,asphalt,4,,,,,,separate,,,,,40.44677036875,-79.9505959125,16
28727103,Forbes Avenue,primary,asphalt,3,25 mph,,,,yes,,lane,,,,40.44419023636363,-79.94968977272727,11
30678685,,footway,concrete,,,,,,yes,,,,,,40.4450912,-79.95189446666667,9
30678686,,footway,concrete,,,,,,yes,,,,,,40.4449253,-79.9519946,2
30678688,,footway,concrete,,,,,,yes,,,,,,40.44532413333334,-79.95214073333334,3
30678689,Varsity Walk,footway,concrete,,,,,,yes,,,,,,40.44473146666667,-79.9520423,3
30678691,Omicron Delta Kappa Walk,footway,concrete,,,,,,yes,,,,,,40.44516826666666,-79.95257993333333,3
30678693,,footway,concrete,,,,,,yes,,,,,,40.44550208571429,-79.9518322,7
36171420,Joncaire Street steps,steps,concrete,,,,,,yes,,,,,,40.440802233333336,-79.95064053333333,3
36171885,Lower Panther Hollow Trail,cycleway,unpaved,,,,,,,,,,,,40.437867357142856,-79.94646609285714,14
39453465,Zebina Way,service,,,,,,,,,,,,,40.445784257142854,-79.94819561428572,7
39455987,,service,,,,,,,,,,,private,,40.4408977,-79.94079853,20
54500061,Yarrow Way,service,,,,,,,,,,,,,40.439677175,-79.951005775,4
54964356,Forbes Avenue,primary,asphalt,3,25 mph,,,,,separate,,,,,40.443858033333335,-79.93872233333333,3
55166555,South Craig Street,service,asphalt,,,,,,,right,,,,,40.444273325,-79.9486174,4
118674552,,service,,,,,,,,,,,,,40.4493938,-79.93930991111111,9
118674556,,service,,,,,,,,,,,,,40.44919738,-79.93922125,10
121051124,,service,,,,,,,,,,,,,40.447259977777776,-79.95012321111112,9
121051189,,service,asphalt,,,yes,,,,,,,,,40.447515440000004,-79.95057996,5
121051190,,service,asphalt,,,yes,,,,,,,,,40.4475892,-79.95052646666666,3
121051191,,service,,,,,,,,,,,,,40.44745093333333,-79.9508445,3
121051281,,footway,concrete,,,,,,,,,,,,40.44722561764706,-79.94957361764706,17
121051283,,steps,concrete,,,,,,,,,,,,40.44702696666666,-79.94976319999999,3
121051284,,steps,concrete,,,,,,,,,,,,40.44750535,-79.94946505,2
121051554,,steps,concrete,,,,,,yes,,,,,,40.445109900000006,-79.9520664,2
121051555,,footway,concrete,,,,,,yes,,,,,,40.4454276,-79.95194685,2
121054524,Winthrop Street,residential,asphalt,,,yes,,,,separate,,,,,40.44577318888889,-79.94958601111111,9
121054679,,service,,,,,,,,,,,,,40.4450393,-79.9493399,3
121056724,,footway,concrete,,,,,,yes,,,,,,40.44457168,-79.95284211999999,5
121056726,,footway,concrete,,,,,,yes,,,,,,40.4445484,-79.95284565,2
121059641,,footway,concrete,,,,,,yes,,,,,,40.44397477142858,-79.9529944,7
132216462,,service,asphalt,,,,,,,,,,,,40.443875500000004,-79.9485847,2
132216463,,service,asphalt,,,,,,,,,,,,40.443591971428575,-79.94807087142858,7
132216464,,service,asphalt,,,,,,,,,,,,40.443145466666664,-79.94917714444445,9
132216465,,service,,,,,,,,,,,,,40.44366905,-79.9476878,2
132216868,Yarrow Way,service,,,,,,,,,,,,,40.44010677,-79.95200563,10
153970744,Diulius Way,service,,,,,,,,,,,,,40.4392659,-79.95069606666667,3
154256411,,footway,concrete,,,,,,yes,,,,,,40.44408645,-79.95263560000001,2
154258953,,footway,concrete,,,,,,yes,,,,,,40.44578865,-79.9519789,2
154369017,,footway,dirt,,,,,,yes,,,,,,40.4450582,-79.95138285,2
154401161,,footway,concrete,,,,,,yes,,,,,,40.443630925,-79.9521998,4
154410179,,service,paving_stones,,,,,,,,,,,,40.443751866666666,-79.95244323333334,3
158105937,Randy Pausch Memorial Bridge,footway,concrete,,,,yes,,,,,,,,40.443221300000005,-79.9441764,2
158134965,,service,bricks,,,yes,,,,,,,,,40.44551608333333,-79.94256626666667,6
158243368,,footway,paved,,,,,,,,,,,,40.44392502857143,-79.94521615714287,14
158243370,,footway,paved,,,,,,,,,,,,40.4438649,-79.94517115,2
158244749,,footway,paved,,,,,,,,,,,,40.44366148,-79.94516058,5
158244750,,footway,paved,,,,,,,,,,,,40.44365025,-79.9455333,2
158244752,,footway,paved,,,,,,,,,,,,40.4438027,-79.94595533333334,3
158244756,,footway,paved,,,,,,,,,,,,40.443820566666666,-79.94565463333333,3
158263386,,footway,concrete,,,,,,,,,,,,40.4447543,-79.94312815,2
158266461,,service,asphalt,,,,,,,,,,destination,,40.44396635,-79.94137385,2
158266464,,service,asphalt,,,,,,,,,,destination,,40.44399535,-79.9412228,4
158266680,,service,,,,,,,,,,,,,40.4438504,-79.93901053333333,3
158373380,,footway,paved,,,,,,,,,,,,40.44301622,-79.944254104,25
158373381,,footway,paved,,,,,,,,,,,,40.44293024285714,-79.94402628571427,7
158376389,,steps,wood,,,,,,,,,,,,40.44273872,-79.94388753999999,5
158376391,,footway,concrete,,,,,,yes,,,,,,40.44269315,-79.94358919999999,2
158376393,,footway,concrete:plates,,,,,,yes,,,,,,40.442587399999994,-79.94363165,2
158383664,,service,,,,,,,,,,,destination,,40.44304932,-79.9447756,5
158385157,,service,,,,,,,,,,,private,,40.44307335,-79.94499095,2
158385158,,service,,,,,,,,,,,destination,,40.4430351,-79.9449056,2
158389583,,service,,,,,,,,,,,private,,40.4431491,-79.94525713333333,3
158396604,,service,asphalt,,,,,,,,,,private,,40.443755466666666,-79.94397228333334,6
158610234,,steps,concrete,,,,,,yes,,,,,,40.44429045,-79.9428836,2
159242085,,footway,concrete,,,,,,,,,,destination,,40.442685,-79.94166815,2
159242086,,footway,concrete,,,,,,,,,,destination,,40.4419836,-79.94193285,2
159242087,,steps,concrete,,,,,,,,,,destination,,40.44203805,-79.94191245,2
159242088,,steps,concrete,,,,,,,,,,destination,,40.44261775,-79.9416932,2
159242089,,footway,concrete,,,,,,,,,,destination,,40.44233115,-79.94180185,2
159454804,,steps,concrete,,,,,,,,,,,,40.443749275,-79.9448281,4
159454805,,footway,asphalt,,,,,,yes,,,,,,40.44380375,-79.94477325,2
159454806,,footway,asphalt,,,,,,yes,,,,,,40.44383282941176,-79.94461645882353,17
159454807,,footway,asphalt,,,,,,yes,,,,,,40.4436756,-79.94486745,2
159454808,,steps,concrete,,,,,,,,,,,,40.44382555,-79.94471375,2
159454809,,footway,paved,,,,,,,,,,,,40.44372925294118,-79.9450149,17
160636651,,steps,concrete,,,,,,yes,,,,,,40.44407065,-79.94448185,2
160636652,,footway,asphalt,,,,,,yes,,,,,,40.44406119999999,-79.9445041,2
160636653,,steps,concrete,,,,,,yes,,,,,,40.444088699999995,-79.944432,2
160636655,,footway,asphalt,,,,,,yes,,,,,,40.4440798,-79.94445685,2
160636657,,footway,asphalt,,,,,,yes,,,,,,40.444115399999994,-79.94435979999999,3
160636658,,steps,concrete,,,,,,yes,,,,,,40.444051099999996,-79.94452534999999,2
160690307,,steps,paved,,,,,,,,,,,,40.4435206,-79.945136875,4
160692884,,service,,,,,,,,,,,permissive,,40.44693544444445,-79.94247038888889,9
166433393,,steps,concrete,,,,,,,,,,,,40.4444628,-79.94359125,2
166433394,,steps,concrete,,,,,,,,,,,,40.444494649999996,-79.94358045,2
166433395,,footway,concrete,,,,,,,,,,,,40.4444789,-79.9435858,2
166433396,,footway,concrete,,,,,,,,,3.5,,,40.44414999999999,-79.94416235,2
166433397,,footway,concrete,,,,,,,,,,,,40.44443613333333,-79.94360026666668,3
166433398,,footway,concrete,,,,,,,,,,,,40.4445112,-79.94357485,2
166433399,,footway,concrete,,,,,,,,,,,,40.444499533333335,-79.9436278,3
166433400,,footway,concrete,,,,,,,,,,,,40.444465799999996,-79.94368875,4
166667463,,footway,unhewn_cobblestone,,,,,,,,,,,,40.442280411764706,-79.93962027058824,17
166667464,,footway,concrete,,,,,,yes,,,,,,40.442825926666664,-79.942167,15
166668311,,footway,paved,,,,,,,,,,,,40.44170815,-79.94063765,2
166668312,,footway,paved,,,,,,,,,,,,40.4416674,-79.9404452,2
166668313,,footway,paved,,,,,,,,,,,,40.4417248,-79.9401961,3
166668314,,footway,paved,,,,,,,,,,,,40.4420122,-79.93942283333332,3
166668315,,footway,paved,,,,,,,,,,,,40.4419773,-79.93966896666667,3
166668316,,footway,paved,,,,,,,,,,,,40.44172565,-79.940194075,4
166668317,,footway,paved,,,,,,,,,,,,40.44174498333333,-79.94041126666667,6
166670050,,footway,paved,,,,,,,,,,,,40.443361949999996,-79.945199,2
166974330,,steps,paved,,,,,,,,,,,,40.44191845,-79.93962675,2
168519837,,service,,,,,,,,,,,private,,40.447835733333335,-79.94942641666667,6
171452421,,footway,concrete,,,,,,,,,,,,40.447498,-79.94954445,2
171452423,,footway,concrete,,,,,,,,,,,,40.4469315,-79.94975323333334,3
171967702,,service,,,,,,,,,,,private,,40.44985416666666,-79.9427396,3
171967703,,service,,,,,,,,,,,private,,40.450054533333336,-79.94277743333333,3
172308325,,service,,,,,,,,,,,private,,40.44758918,-79.93882764,10
172350346,,service,,,,,,,,,,,private,,40.4503521,-79.94262255000001,4
172350888,,service,,,,,,,,,,,private,,40.44821005,-79.94170055000001,2
172350890,,service,,,,,,,,,,,destination,,40.44830368,-79.94214236,5
172351213,,service,concrete:plates,,,yes,,,,,,,destination,,40.448322866666665,-79.94268923333334,3
172351214,,service,concrete,,,yes,,,,,,,destination,,40.448376833333334,-79.94412833333332,3
172351216,,service,asphalt,,,,,,,,,,destination,,40.44833855,-79.94358790000001,2
172351218,,service,asphalt,,,,,,,,,,destination,,40.448361750000004,-79.94323754999999,2
172351220,,service,concrete:plates,,,yes,,,,,,,destination,,40.448516266666665,-79.94272683333332,3
172351221,,service,asphalt,,,,,,,,,,destination,,40.44844408,-79.94340308,5
172351223,,service,asphalt,,,,,,,,,,destination,,40.4483004,-79.94302905,2
172356992,,service,,,,,,,,,,,private,,40.44289233333333,-79.9446894,3
172357455,,service,asphalt,,,,,,,,,,private,,40.4439379,-79.94371833333334,3
172358029,,service,asphalt,,,,,,,,,,private,,40.445813275,-79.94448725,8
172714316,,service,,,,,,,,,,,private,,40.44923426666667,-79.94284363333333,3
172714317,,service,,,,,,,,,,,private,,40.449152875,-79.94302125,4
172951885,,service,,,,,,,,,,,private,,40.449050699999994,-79.94925396666667,3
172951886,,service,,,,yes,,,,,,,private,,40.4487804,-79.94923651666666,6
172951887,,service,,,,yes,,,,,,,private,,40.4481268,-79.9496696,2
173093412,,service,,,,,,,,,,,private,,40.44990968,-79.94318706,5
173094510,,service,,,,,,,,,,,private,,40.4495686,-79.94289033333332,3
173094511,,service,,,,,,,,,,,private,,40.4497984,-79.94292899999999,3
173094512,,service,,,,,,,,,,,private,,40.44965436666667,-79.9429131,3
173094513,,service,,,,,,,,,,,private,,40.449444766666666,-79.9428823,3
173100745,,service,,,,,,,,,,,private,,40.448684899999996,-79.94273166666666,3
175084001,,service,,,,,,,,,,,private,,40.44778616666667,-79.9365679,3
175084002,,service,,,,,,,,,,,private,,40.4477996,-79.936382,3
175084004,,service,,,,,,,,,,,private,,40.44781583333333,-79.93616816666668,3
178810326,,service,,,,,,,,,,,private,,40.4502221,-79.94298863333334,3
207205048,,footway,paved,,,,,,,,,,,,40.4389038,-79.9469363125,8
207205049,,steps,,,,,,,,,,,,,40.43922265714286,-79.94721978571428,7
207205059,,footway,paved,,,,,,,,,,,,40.439196054545455,-79.94737191818182,11
207205060,,footway,paved,,,,,,,,,,,,40.43937785,-79.947121975,4
207205061,,footway,paving_stones,,,,,,yes,,,,,,40.43979229166667,-79.947878675,12
207205065,,footway,concrete,,,,,,no,,,,,,40.44008178,-79.94755868,5
207205066,,footway,,,,,,,,,,,,,40.4392888,-79.94725076666667,3
207205067,,steps,,,,,,,,,,,,,40.43931488333333,-79.9473332,6
207207949,,footway,concrete,,,,,,no,,,,private,,40.43987679166667,-79.9483867625,24
207207950,,footway,concrete,,,,,,no,,,,customers,,40.43979754166667,-79.94835200833334,12
207207953,,footway,concrete,,,,,,no,,,,private,,40.43987502,-79.94824448,5
